Student ID,Gender,Religion,Branch,Div-1,Div-2,Div-3,Roll-1,Roll-2,Roll-3,Mentor-1,Mentor-2,Mentor-3,Math-1 Theory,Physics Theory,Physics Practical,Java-1 Theory,Java-1 Practical,Software Engineering Theory,Software Engineering Practical,Environmental Science Theory,IOT Workshop Practical,Computer Workshop Practical,Math-2 Theory,Data Structures using Java Theory,Data Structures using Java Practical,DBMS Theory,DBMS Practical,Fundamental of Electronics and Electrical Theory,Fundamental of Electronics and Electrical Practical,Java-2 Theory,Java-2 Practical,Math-1 Attendance,Physics Attendance,Java-1 Attendance,Software Engineering Attendance,Environmental Science Attendance,IOT Workshop Attendance,Math-2 Attendance,Data Structures using Java Attendance,DBMS Attendance,Fundamental of Electronics and Electrical Attendance,Java-2 Attendance,Math-3 Theory,DE Theory,DE Practical,FSD Theory,FSD Practical,Python Theory,Python Practical,Communication Theory,Law Theory
104,M,Hindu,CE,D4,D8,A5,99,227,157,NSD,NPB,DPB,60,59,50,53,72,56,59,81,49,82,54,53,76,58,69,63,71,60,70,97,94,96,95,93,100,93.65,87.3,98.25,92.98,93.55,51,62,58,84,82,71,72,74,46
105,M,Hindu,CE,D9,D5,A4,269,133,137,NSD,IAM,MVP,75,61,69,49,85,72,76,70,76,82,44,52,59,60,67,63,72,62,60,98,100,99,100,100,100,95.24,100,95.31,100,98.31,68,33,67,69,63,59,94,45,38
106,F,Hindu,CE,D9,D9,A4,270,243,131,PJD,PVV,PHA,64,58,44,42,49,58,76,65,61,65,53,65,63,64,53,66,71,60,65,94,97,98,92,100,100,92.54,92.86,94.83,94,96.49,71,41,80,85,53,60,74,77,51
107,M,Hindu,CE,D4,D2,A1,119,60,36,VVV,PDB,MVP,77,73,48,61,89,72,67,71,89,81,70,73,84,76,83,76,76,76,88,97,97,98,97,100,100,95.45,93.44,93.65,95.65,93.85,79,51,87,86,79,74,83,84,44
108,M,Hindu,CE,D2,D1,A1,33,3,3,SVC,IAM,PSK,90,86,85,83,92,92,78,91,74,92,84,84,92,91,90,87,79,87,91,98,96,96,92,92,100,85.94,81.97,87.1,83.33,84.85,93,96,93,97,84,97,100,95,84
109,M,Hindu,CE,D9,D7,A5,258,204,150,DPP,PVV,KMS,62,58,53,57,84,61,79,59,89,94,38,50,92,60,93,42,44,76,95,97,87,97,86,85,100,86.21,84.06,83.61,74.07,82.76,31,28,63,70,74,70,100,59,65
110,F,Hindu,CE,D7,D11,A7,197,328,224,MDP,IAM,ZVB,49,40,51,29,55,56,66,55,71,69,43,52,54,38,43,54,49,44,46,92,95,87,89,86,100,95.83,96.61,92.73,94,93.94,47,80,58,74,56,36,45,55,47
111,M,Jain,CE,D12,D4,A2,345,117,64,JAZ,ZPB,KMS,57,66,80,63,93,75,89,67,82,78,47,67,91,78,90,76,76,76,99,92,95,95,94,100,100,100,95.59,100,95.92,96.49,90,86,86,87,84,86,89,81,48
112,M,Hindu,CE,D3,D3,A2,83,64,49,PJD,VHP,ZVB,68,76,82,57,57,80,67,85,76,85,69,71,85,78,86,79,71,71,88,95,98,96,95,93,100,88.41,91.07,84.62,89.8,91.8,71,84,74,95,78,78,89,85,59
113,M,Hindu,CE,D7,D9,A5,204,264,146,VVV,JJS,KMS,52,51,82,43,63,66,54,61,65,79,52,59,73,54,67,73,75,62,65,89,94,96,95,93,100,100,97.14,91.38,96,94.74,66,55,70,78,88,66,83,78,53
114,M,Hindu,CE,D7,D8,A5,210,221,147,NSD,ZPB,DPB,53,75,79,35,58,69,64,53,79,72,77,55,69,47,61,76,72,41,68,81,89,89,89,86,100,82.54,74.6,91.23,82.46,87.1,67,78,64,54,69,53,70,77,44
115,M,Hindu,CE,D4,D3,A2,115,65,48,NRS,ZPB,KMS,79,68,65,62,79,72,79,67,60,87,71,72,97,78,91,80,78,65,95,99,96,96,95,100,100,91.3,92.86,87.69,95.92,95.08,81,87,72,80,71,69,95,91,64
116,M,Hindu,CE,D8,D11,A6,228,326,195,KCS,ASA,DVP,46,45,80,44,71,40,64,45,83,77,48,56,61,51,44,45,49,50,65,98,97,96,97,92,100,93.06,98.31,89.09,98,95.45,60,59,81,76,74,82,98,69,42
117,F,Hindu,CE,D1,D4,A3,3,97,80,DPP,NPB,DKU,81,76,57,53,57,58,60,69,79,76,63,69,71,66,76,66,83,65,76,97,94,96,95,100,100,97.01,98.53,95.08,97.96,98.25,81,85,88,88,55,79,82,85,52
118,F,Hindu,CE,D7,D2,A2,186,45,44,SVC,NPB,KMS,78,78,56,57,78,82,77,83,73,55,76,78,76,71,74,79,67,64,84,100,100,100,100,100,100,100,91.8,98.41,95.65,100,82,81,94,92,88,88,95,91,56
119,M,Hindu,CE,D10,D11,A7,298,316,230,KGB,JJS,DKU,62,49,75,26,63,45,69,70,66,86,39,47,51,32,32,50,52,35,41,82,80,90,78,85,100,81.94,83.05,72.73,76,81.82,47,49,65,51,53,49,43,62,44
120,M,Hindu,CE,D1,D3,A2,29,73,61,MMS,PDB,ZVB,85,66,76,55,67,72,77,69,86,89,75,70,94,72,90,62,79,59,91,98,99,98,97,92,100,97.1,100,89.23,100,96.72,73,82,80,78,87,81,93,78,66
121,M,Hindu,CE,D5,D3,A2,139,89,63,DPP,PVS,MGV,76,70,82,47,78,78,66,63,77,90,71,67,98,72,96,69,77,63,95,92,92,92,92,93,100,94.2,91.07,89.23,95.92,88.52,84,86,85,93,91,88,83,93,42
122,F,Hindu,CE,D1,D1,A1,20,6,6,DPP,NPB,DPB,86,84,85,75,72,92,55,76,81,76,86,89,77,78,68,88,75,79,79,99,99,98,95,100,100,100,95.08,98.39,100,98.48,84,92,69,92,74,93,96,87,56
123,M,Hindu,CE,D2,D3,A1,50,61,18,SVC,PVV,DPB,74,73,85,63,86,72,87,86,78,79,72,83,92,81,90,83,78,78,91,93,97,96,94,92,100,97.1,98.21,89.23,100,95.08,87,88,87,98,94,93,83,93,69
124,M,Hindu,CE,D3,D5,A4,80,146,121,MMS,IAM,MVP,69,75,92,45,77,64,68,64,77,91,55,69,83,50,80,73,78,51,82,93,97,100,95,100,100,87.3,88.52,92.19,85.19,86.44,70,65,74,77,78,74,86,81,45
125,M,Hindu,CE,D3,D11,A7,87,312,238,CVM,ZPB,DKU,55,50,76,29,57,50,65,78,76,78,36,37,54,30,38,38,64,39,51,70,84,74,66,71,100,72.22,71.19,61.82,80,71.21,42,41,64,45,55,56,44,56,53
126,M,Hindu,CE,D4,D2,A2,103,32,51,ARP,NPB,MGV,84,64,65,74,87,81,74,63,95,84,49,77,89,70,85,72,80,74,88,100,97,97,100,100,100,95.45,90.16,95.24,95.65,93.85,73,73,90,89,89,88,104,89,67
127,M,Hindu,CE,D10,D8,A6,279,214,200,KCS,NPB,DVP,73,64,85,34,61,64,69,70,67,78,38,56,73,46,60,60,57,38,56,97,94,96,97,100,100,76.19,85.71,96.49,92.98,90.32,66,63,67,60,58,63,78,89,64
128,M,Hindu,CE,D9,D1,A1,263,4,12,KDL,JJS,MVP,94,83,65,83,92,81,77,85,88,82,85,80,88,82,86,75,85,75,83,94,97,98,92,100,100,87.5,90.16,87.1,91.67,95.45,93,87,84,96,83,91,89,83,66
129,M,Hindu,CE,D3,D3,A2,74,67,59,JAZ,BPD,MGV,77,80,76,55,67,68,65,60,76,89,63,77,98,70,89,80,76,60,97,93,97,96,93,93,100,95.65,100,89.23,100,98.36,90,80,82,93,77,75,89,89,46
130,M,Hindu,CE,D3,D3,A1,65,83,26,NSD,JPM,DPB,71,76,82,66,80,60,66,81,69,89,79,77,90,77,89,78,82,73,85,94,95,98,95,100,100,94.2,94.64,95.38,95.92,96.72,84,92,87,95,89,88,97,88,86
131,M,Hindu,CE,D3,D3,A2,63,66,56,MMS,ASA,KMS,76,69,82,70,76,65,74,71,79,78,70,71,79.5,74,79,60,80,70,70.5,95,97,89,95,86,100,86.96,89.29,78.46,87.76,83.61,78,68,72,87,71,88,98,72,59
132,M,Hindu,CE,D7,D8,A5,206,240,151,CVM,NPB,DPB,46,67,69,40,56,69,54,79,68,75,69,59,72,52,71,65,70,47,66,95,89,90,92,100,100,93.65,85.71,92.98,100,95.16,79,64,67,75,66,66,76,81,80
133,M,Hindu,CE,D5,D9,A6,124,253,191,JAZ,NPB,UMM,56,55,77,44,84,62,59,64,68,83,41,58,50,41,52,68,75,46,68,92,98,96,95,100,100,92.54,90,87.93,94,87.72,70,63,71,72,74,62,82,61,51
134,M,Hindu,CE,D2,D9,A4,47,267,119,NRS,PAT,PHA,53,66,88,45,87,47,71,84,74,84,54,68,73,60,76,77,82,57,80,93,94,96,94,92,100,91.04,90,94.83,92,96.49,73,63,82,79,59,69,77,67,55
135,M,Muslim,CE,D1,D3,A2,13,69,45,NRS,JJS,ZVB,85,72,74,66,95,56,85,52,80,69,65,74,91,72,89,74,73,76,87,100,96,98,92,85,100,91.3,89.29,89.23,91.84,95.08,94,92,81,86,64,83,100,77,35
136,M,Hindu,CE,D2,D1,A1,51,15,22,VVV,BPD,DPB,87,84,84,68,92,78,75,75,87,81,76,77,85,69,78,79,83,71,80,87,87,94,86,85,100,93.75,85.25,85.48,97.92,92.42,83,78,82,90,79,84,95,85,56
137,M,Hindu,CE,D9,D4,A2,256,99,46,ARP,PDB,PHA,75,66,71,54,75,73,77,85,71,67,74,76,88,75,79,86,80,65,88,100,100,100,100,100,100,100,98.53,96.72,93.88,94.74,83,87,91,93,73,85,101,89,87
138,F,Hindu,CE,D5,D4,A3,125,111,82,KGB,PAT,DVP,68,70,87,49,92,76,66,80,73,85,53,73,87,61,77,69,88,65,81,98,100,100,100,100,100,98.51,88.24,95.08,95.92,98.25,70,68,95,82,84,73,63,81,66
139,M,Hindu,CE,D2,D1,A1,52,11,30,ARP,PVS,DPB,86,81,90,71,82,84,71,79,76,92,50,77,82,75,75,84,88,78,82,92,97,96,94,92,100,78.13,73.77,87.1,79.17,77.27,89,85,73,95,81,85,80,66,72
140,M,Hindu,CE,D7,D4,A2,198,114,68,MMP,PJD,KMS,54,73,46,56,70,78,67,77,89,69,69,73,77,72,79,67,86,64,85,100,100,100,100,100,100,100,100,100,100,100,88,92,89,96,83,85,97,87,65
141,M,Hindu,CE,D8,D8,A5,240,236,153,CVM,BPD,ZVB,46,63,77,49,84,65,79,73,79,82,40,62,90,51,83,59,72,64,94,95,94,94,97,92,100,76.19,87.3,82.46,85.96,88.71,58,62,61,79,82,76,92,76,50
142,F,Hindu,CE,D5,D3,A3,134,80,96,PJD,BPD,DKU,72,75,75,49,74,78,66,52,87,78,56,61,71,72,75,62,71,59,78,87,89,89,87,79,100,85.51,87.5,84.62,91.84,83.61,45,67,88,75,70,64,76,84,37
143,F,Hindu,CE,D8,D10,A6,239,286,182,ARP,ZPB,DVP,50,58,76,35,76,61,78,70,91,66,44,62,67,44,56,64,83,49,64,80,81,87,76,75,100,69.35,79.03,81.54,81.25,82.81,67,53,69,59,61,60,87,89,45
144,M,Hindu,CE,D2,D2,A1,32,47,9,PJD,PDB,UMS,86,73,77,67,87,68,86,85,79,79,87,88,85,77,85,74,67,82,85,93,96,94,94,85,100,93.94,88.52,90.48,93.48,93.85,84,81,84,95,91,80,84,80,69
145,M,Hindu,CE,D2,D3,A2,49,81,52,PJD,IAM,KMS,91,61,80,68,87,53,75,48,75,80,80,70,80,65,72,73,75,65,79,92,96,98,94,92,100,100,100,100,100,100,76,79,87,85,70,82,56,73,41
146,M,Hindu,CE,D6,D10,A6,179,275,189,KGB,BPD,MGV,47,59,78,42,85,61,70,65,85,80,47,47,54,59,59,47,69,53,46,92,77,88,76,62,100,96.77,100,96.92,100,93.75,64,54,57,76,60,69,78,81,50
147,M,Hindu,CE,D2,D7,A4,39,194,113,JAZ,VHP,MVP,61,61,84,51,85,67,79,84,79,97,45,64,95,63,92,72,72,63,96,81,83,86,83,77,100,91.38,86.96,86.89,88.89,93.1,75,68,80,92,79,86,75,82,55
148,F,Hindu,CE,D5,D10,A4,147,285,117,MMP,VHP,MVP,52,64,76,34,78,54,51,56,65,84,66,66,53,73,54,77,80,45,57,95,100,98,97,93,100,96.77,87.1,95.38,81.25,95.31,74,81,87,74,77,73,87,87,62
149,M,Hindu,CE,D2,D2,A2,59,51,41,KDL,VHP,ZVB,89,75,89,47,92,78,80,81,83,98,75,70,84,75,82,71,70,63,84,94,94,96,97,92,100,89.39,95.08,90.48,100,84.62,84,85,85,88,73,78,82,90,66
150,F,Hindu,CE,D1,D2,A3,6,46,79,ARP,PAT,UMS,70,85,83,50,67,89,78,74,82,72,61,68,59,71,65,73,80,53,55,97,99,94,92,92,100,89.39,91.8,95.24,100,90.77,73,81,90,84,68,76,76,86,65
151,F,Hindu,CE,D4,D7,A3,104,200,102,CVM,JPM,DVP,54,70,63,43,75,72,61,69,94,84,55,75,68,75,60,62,88,43,62,98,97,98,100,100,100,82.76,92.75,90.16,96.3,94.83,80,80,90,90,73,76,88,88,64
152,M,Hindu,CE,D5,D10,A6,140,290,210,HRS,JJS,DVP,57,46,76,46,74,54,66,67,76,84,41,42,53,42,56,54,61,57,40,95,83,99,87,79,100,85.48,88.71,93.85,100,84.38,52,40,65,70,68,73,94,68,33
153,M,Hindu,CE,D8,D10,A5,230,281,145,KGB,PDB,ZVB,70,48,81,36,63,53,70,60,61,35,76,69,74,41,66,62,74,46,54,97,97,96,95,83,100,98.39,90.32,89.23,87.5,92.19,79,79,70,69,50,79,77,85,46
154,M,Jain,CE,D8,D3,A1,215,62,23,MMP,PJD,PSK,66,69,88,75,70,72,80,85,87,95,75,71,98,83,96,79,75,84,97,80,83,81,84,75,100,81.16,78.57,80,87.76,83.61,76,89,81,96,96,95,92,80,57
155,M,Hindu,CE,D9,D4,A2,243,105,65,JAZ,ASA,ZVB,79,74,71,33,76,80,77,73,68,82,78,69,83,67,85,71,84,57,87,91,92,92,89,85,100,74.63,77.94,85.25,83.67,84.21,78,86,88,73,60,72,78,86,33
156,M,Hindu,CE,D10,D9,A4,275,248,143,DPP,ASA,PSK,61,57,88,41,80,61,77,59,64,87,60,51,78,58,71,62,85,57,84,93,92,96,97,100,100,92.54,91.43,87.93,90,94.74,71,61,66,81,70,70,68,80,48
157,M,Hindu,CE,D5,D6,A3,132,177,86,NRS,PDB,DVP,68,62,76,43,87,72,62,80,70,82,54,81,79,66,73,63,84,54,69,98,100,100,97,93,100,94.92,89.66,95.52,94.23,100,77,69,90,83,88,65,75,84,63
158,M,Hindu,CE,D3,D3,A3,81,87,83,NRS,PVV,UMS,71,72,83,62,64,67,70,64,69,90,52,63,81,73,82.5,73,79,67,75,94,95,98,90,93,100,86.96,89.29,87.69,95.92,88.52,78,73,80,73,76,72,67,75,38
159,M,Hindu,CE,D9,D9,A6,255,252,190,VVV,JPM,DVP,57,56,67,44,70,61,77,65,69,76,47,50,65,52,65,62,79,51,66,96,95,98,95,100,100,94.03,95.71,94.83,96,94.74,59,46,76,69,59,67,82,78,43
160,F,Hindu,CE,D8,D9,A5,212,241,174,KDL,PAT,KMS,58,66,62,40,64,58,76,70,54,62,61,57,67,52,65,66,63,41,72,98,96,98,89,92,100,89.55,88.57,96.55,92,94.74,62,68,64,68,70,60,67,78,59
161,M,Hindu,CE,D5,D2,A1,128,41,24,KGB,BPD,MVP,90,81,89,48,67,78,62,71,83,82,87,71,75,76,74,82,71,72,77,92,91,94,92,86,100,100,98.36,100,100,100,81,94,92,94,84,85,100,90,46
162,M,Hindu,CE,D5,D11,A7,150,315,225,NSD,IAM,DKU,55,42,85,42,79,43,64,37,67,89,47,43,52,34,42,45,40,46,53,84,74,88,72,64,100,79.17,86.44,69.09,82,74.24,52,71,76,83,83,65,55,65,33
163,M,Hindu,CE,D5,D9,A5,129,254,154,MDP,PAT,KMS,63,49,81,48,82,57,61,67,80,82,52,60,61,46,62,58,72,58,70,95,92,100,95,93,100,94.03,95.71,84.48,90,84.21,56,62,85,84,79,74,88,65,39
164,M,Hindu,CE,D6,D5,A3,172,147,95,CVM,JJS,UMS,64,68,87,51,92,70,71,73,79,77,71,52,92,63,88,75,81,64,93,98,100,99,100,100,100,100,100,98.44,100,100,76,82,91,82,76,76,85,68,55
165,M,Jain,CE,D4,D1,A1,114,8,5,MMS,PDB,UMS,87,90,61,73,86,82,78,74,95,86,82,78,75,87,76,93,92,84,81,98,96,98,97,100,100,100,96.72,96.77,97.92,96.97,93,92,91,93,85,93,96,91,70
166,M,Jain,CE,D3,D1,A1,67,27,14,SVC,ASA,DPB,66,85,93,68,79,86,72,81,70,90,80,79,89,86,85,85,90,83,89,94,94,98,90,86,100,95.31,91.8,93.55,100,95.45,84,92,89,97,79,91,95,92,71
167,M,Jain,CE,D6,D9,A5,177,268,170,KCS,PDB,DPB,53,58,79,43,86,57,72,74,81,86,48,47,82,48,76,71,69,66,79,80,80,83,82,54,100,80.6,75.71,75.86,76,80.7,52,64,65,82,88,72,82,76,48
168,M,Jain,CE,D3,D1,A1,91,25,35,KCS,VHP,PSK,73,79,92,72,76,83,74,83,74,90,62,73,73,77,71,78,82,78,70,89,91,96,90,100,100,90.63,90.16,88.71,95.83,96.97,82,84,87,95,90,85,82,89,64
169,F,Muslim,CE,D5,D6,A3,136,155,88,VVV,VHP,DKU,70,55,87,52,83,74,64,66,86,78,51,63,77,68,73,69,77,73,81,100,100,100,97,100,100,96.61,100,89.55,96.15,95.45,69,81,94,86,68,84,79,80,51
170,M,Hindu,CE,D8,D8,A6,237,231,185,SVC,PJD,MGV,55,59,76,44,68,69,70,75,62,43,44,55,80,52,65,55,69,57,70,94,93,100,97,92,100,92.06,92.06,89.47,96.49,98.39,61,50,74,79,67,62,84,81,66
171,F,Hindu,CE,D9,D9,A4,251,269,140,NRS,PVV,PSK,67,45,42,38,60,61,69,45,60,86,58,68,54,50,53,68,56,56,63,80,87,81,84,77,100,94.03,98.57,96.55,96,100,67,41,77,77,65,56,57,70,33
172,M,Hindu,CE,D1,D9,A7,1,262,217,ARP,BPD,DKU,48,59,78,37,60,68,69,80,79,55,38,55,79,44,61,47,55,42,72,100,100,98,100,100,100,97.01,97.14,96.55,100,100,59,59,66,60,70,57,55,81,67
173,M,Jain,CE,D6,D6,A3,157,165,105,HRS,PVV,SAS,56,76,77,50,81,66,71,84,81,78,50,69,86,63,77,72,81,62,72,80,78,86,82,62,100,89.83,81.03,73.13,84.62,80.3,85,74,63,86,73,77,71,83,65
174,M,Hindu,CE,D4,D5,A6,106,124,206,HRS,PAT,DVP,74,67,57,46,88,71,74,81,94,85,46,32,85,51,80,46,72,45,84,90,88,96,95,86,100,65.08,80.33,67.19,81.48,69.49,76,56,87,68,58,71,91,85,54
175,M,Hindu,CE,D1,D1,A1,2,12,34,CVM,VHP,DPB,89,82,78,76,93,74,80,66,83,73,62,74,91,62,91,76,86,82,97,100,79,98,84,85,100,87.5,83.61,88.71,89.58,87.88,68,72,74,90,91,86,86,74,53
176,M,Hindu,CE,D9,D7,A4,252,191,144,NSD,PVV,MVP,74,52,79,44,71,72,78,70,70,85,38,67,70,57,57,58,64,50,69,92,86,92,86,77,100,79.31,85.51,83.61,85.19,82.76,70,63,65,77,74,58,77,87,52
177,M,Hindu,CE,D7,D5,A3,205,132,94,ARP,BPD,DVP,61,73,74,63,71,60,56,70,65,78,52,75,82,67,77,73,81,56,85,84,91,88,84,93,100,82.54,88.52,75,81.48,86.44,70,65,69,71,76,79,85,86,43
178,M,Hindu,CE,D7,D12,A7,201,330,218,NSD,JPM,ZVB,40,47,71,33,61,51,69,67,57,76,35,56,60,48,58,48,56,49,58,100,98,100,97,100,100,98.28,96.61,98.41,100,100,70,47,60,85,66,60,49,75,65
179,F,Hindu,CE,D12,D2,A1,360,48,21,DPP,PVV,UMS,80,76,63,65,78,72,89,72,80,72,75,77,85,79,82,82,82,81,88,98,100,100,100,93,100,95.45,90.16,95.24,95.65,98.46,83,84,87,96,75,89,100,93,68
180,F,Hindu,CE,D7,D10,A6,195,280,212,KDL,PAT,UMM,47,53,63,37,68,71,69,77,69,74,37,51,55,50,45,54,51,44,57,99,100,100,97,100,100,98.39,96.77,98.46,95.83,98.44,45,33,65,49,52,65,58,77,43
181,M,Hindu,CE,D1,D6,A5,23,169,161,CVM,ZPB,ZVB,74,63,84,38,67,72,75,77,70,75,50,57,63,55,58,59,72,49,69,98,93,92,89,85,100,94.92,96.55,76.12,80.77,84.85,63,76,73,79,75,71,72,66,44
182,M,Hindu,CE,D7,D6,A5,193,175,155,NRS,NPB,DPB,56,60,84,62,71,68,49,80,67,77,44,56,68,58,71,62,78,58,73.5,99,98,96,95,100,100,96.61,94.83,85.07,92.31,92.42,59,71,61,72,75,86,57,77,44
183,M,Hindu,CE,D4,D3,A3,118,79,85,SVC,ASA,SAS,75,73,54,46,81,80,79,63,58,83,57,71,78,62,74,64,81,63,73.5,93,97,98,92,79,100,91.3,87.5,80,89.8,96.72,63,78,95,85,61,77,74,74,43
184,F,Hindu,CE,D4,D1,A1,94,5,1,KGB,JPM,UMS,86,86,71,74,85,94,81,87,89,90,97,83,76,88,78,93,93,87,79,100,100,100,100,100,100,100,100,100,100,100,95,98,85,96,71,95,95,95,81
185,M,Hindu,CE,D8,D8,A4,223,216,115,CVM,PDB,PHA,58,64,77,47,81,65,67,67,76,80,72,64,87,52,90,66,83,58,91,86,83,94,92,92,100,90.48,85.71,91.23,82.46,85.48,62,76,84,65,64,65,69,70,59
186,M,Hindu,CE,D2,D3,A4,48,63,134,NSD,PVS,UMM,84,61,75,68,91,68,73,60,69,82,59,46,61,55,75,63,83,55,62,96,99,98,97,92,100,94.2,89.29,87.69,95.92,90.16,82,84,86,91,79,92,94,80,45
187,M,Hindu,CE,D5,D3,A2,137,84,71,ARP,NPB,MGV,83,71,81,45,85,74,62,71,73,87,71,64,63.5,69,61,72,85,56,68.5,95,94,95,95,93,100,94.2,94.64,89.23,95.92,96.72,84,72,81,67,76,68,68,72,42
188,F,Hindu,CE,D9,D9,A6,244,259,205,SVC,VHP,MGV,64,57,61,35,66,58,76,53,69,69,46,47,78,46,57,59,53,46,78,93,84,91,84,85,100,71.64,68.57,84.48,84,85.96,60,35,74,61,63,61,95,65,49
189,F,Hindu,CE,D1,D1,A2,9,26,50,KGB,ZPB,PHA,79,76,81,69,65,82,77,86,83,82,47,75,82,81,80,77,87,74,82,91,84,89,86,85,100,75,78.69,91.94,77.08,83.33,73,47,75,58,76,55,75,79,78
190,F,Hindu,CE,D5,D10,A5,135,294,179,SVC,PDB,SAS,58,57,81,30,83,56,47,66,65,84,47,60,52,54,48,58,83,43,53,95,97,98,97,93,100,95.16,90.32,89.23,91.67,92.19,70,70,62,70,78,62,57,79,55
191,F,Hindu,CE,D12,D7,A4,348,206,112,KDL,PVS,PSK,74,72,31,33,46,59,83,47,86,71,60,69,69,72,56,75,77,49,66,85,79,89,92,86,100,72.41,89.86,83.61,92.59,87.93,75,77,80,84,67,64,68,78,52
192,M,Hindu,CE,D12,D12,A7,335,342,242,MMS,JJS,SAS,49,45,57,23,49,45,61,60,55,55,40,42,52,41,37,50,48,44,39,71,75,77,69,50,100,82.76,71.19,79.37,69.23,78.57,39,16,62,41,35,40,38,47,34
193,M,Hindu,CE,D10,D4,A2,278,103,72,ARP,VHP,KMS,66,72,71,50,81,79,79,84,87,91,53,59,90,78,84,74,75,75,85,100,100,100,100,100,100,94.03,95.59,96.72,91.84,94.74,76,83,94,93,79,72,77,84,76
194,M,Hindu,CE,D2,D4,A4,53,119,120,CVM,BPD,PSK,84,58,85,54,88,64,73,63,77,84,57,73,81,42,88,57,84,54,92,82,87,88,86,85,100,92.54,97.06,95.08,87.76,91.23,50,40,96,75,83,73,90,68,46
195,M,Jain,CE,D2,D5,A5,44,134,156,MDP,JJS,SAS,75,62,62,59,88,60,69,79,81,83,47,56,78,48,71,65,72,51,83,92,93,90,92,85,100,88.89,93.44,89.06,92.59,88.14,75,61,58,85,83,69,76,55,37
196,M,Hindu,CE,D6,D5,A4,152,135,123,SVC,JPM,PHA,69,72,69,39,61,75,62,73,80,79,66,63,87,57,79,75,76,47,85,98,95,98,97,92,100,93.65,93.44,95.31,90.74,94.92,83,74,63,88,52,72,88,86,66
197,M,Hindu,CE,D9,D9,A4,259,242,142,HRS,PDB,UMM,72,52,81,40,79,58,75,50,78,85,56,61,56,51,57,58,71,52,71,92,95,94,92,92,100,91.04,92.86,91.38,96,91.23,46,53,81,54,67,68,68,65,54
198,M,Hindu,CE,D9,D2,A2,254,55,38,SVC,IAM,PHA,87,67,82,62,74,70,78,53,84,93,65,78,88,71,89,77,83,71,91,96,95,97,97,100,100,90.91,93.44,90.48,91.3,90.77,83,79,95,89,88,94,87,86,48
199,M,Hindu,CE,D3,D8,A4,69,238,130,ARP,JJS,UMM,54,62,84,49,82,57,73,73,82,76,53,57,89,66,82,70,76,55,86,97,94,98,90,93,100,95.24,88.89,96.49,85.96,91.94,65,62,87,87,85,73,79,79,53
200,M,Hindu,CE,D8,D2,A1,227,53,37,PJD,ASA,UMS,70,77,78,66,72,76,65,81,86,75,63,78,89,76,86,83,74,74,87,97,93,100,92,92,100,92.42,90.16,79.37,95.65,89.23,78,87,88,86,79,79,80,80,52
201,M,Hindu,CE,D10,D9,A5,277,251,160,JAZ,JJS,SAS,55,66,66,45,66,53,66,71,71,90,48,57,77,57,71,64,47,59,90,90,79,94,81,77,100,79.1,80,79.31,76,82.46,70,52,66,84,81,69,68,69,46
202,M,Hindu,CE,D1,D12,A7,14,354,247,NSD,PJD,ZVB,35,43,70,32,74,26,87,35,79,62,5,18,47,18,34,11,47,18,45,69,44,60,22,15,67,72.41,66.1,57.14,57.69,60,6,9,64,21,50,30,0,55,31
203,F,Hindu,IT,D12,D10,C3,340,272,95,VVV,VHP,ASP,60,63,73,32,70,55,83,62,79,65,46,58,81,66,72,60,67,66,84,83,77,83,83,79,100,96.77,93.55,93.85,87.5,93.75,68,71,97,88,88,75,68,78,42
204,M,Hindu,IT,D9,D11,C5,264,318,151,KGB,NPB,ZKG,59,49,42,31,56,42,75,60,70,66,52,54,59,38,41,54,48,29,63,96,95,98,95,92,100,88.89,89.83,83.64,90,87.88,52,54,74,53,60,51,54,55,45
205,M,Hindu,IT,D7,D9,C3,208,265,89,HRS,JPM,SYD,59,58,79,41,63,54,74,70,76,51,50,64,71,63,64,78,95,54,71,94,98,96,95,100,100,94.03,92.86,93.1,94,96.49,77,87,95,76,74,74,84,64,49
206,M,Hindu,IT,D10,D10,C4,299,292,104,MDP,NPB,ASP,60,54,78,43,76,46,82,54,82,95,53,65,89,41,77,46,67,62,90,91,82,93,89,92,100,79.03,87.1,89.23,100,82.81,46,57,94,76,76,81,86,56,43
207,M,Hindu,IT,D9,D7,C4,248,190,112,MDP,PDB,AKS,69,55,62,54,82,64,75,55,72,85,38,60,78,54,64,53,66,57,72,92,95,92,92,92,100,82.76,79.71,91.8,88.89,86.21,29,37,0,48,0,56,0,37,39
208,M,Hindu,IT,D10,D4,C1,290,116,32,ARP,VHP,JDP,64,68,84,61,78,68,69,62,71,91,51,70,92,71,90,69,82,76,93,84,79,79,78,92,100,76.12,76.47,81.97,81.63,82.46,72,57,69,81,75,80,83,85,54
209,F,Hindu,IT,D10,D7,C2,283,207,59,MMP,VHP,JDP,52,67,87,40,75,78,68,81,80,89,51,69,80,68,70,63,47,62,77,92,91,98,92,92,100,94.83,92.75,93.44,96.3,98.28,79,80,89,86,79,73,89,84,50
210,M,Hindu,IT,D7,D4,C3,182,106,75,MMS,BPD,SDS,60,70,83,55,69,80,70,89,73,64,47,59,74,66,73,61,78,65,74,95,97,97,100,100,100,97.01,97.06,96.72,100,100,67,68,86,81,84,77,88,83,62
